timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-22T20:27:56.019332+00:00,futures,bitmex,BTC/USDT,112202.6,112165.0,0.0003352204341818377,0.03352204341818377,0.0,56368685.56299002,,,,,,
2025-09-22T20:27:56.263161+00:00,funding,okx,BTC/USDT,,,,,,,,,,1.81710335233e-05,0.00181710335233,2025-09-23T00:00:00+00:00
2025-09-22T20:27:58.313592+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-22T21:02:53.025140+00:00,futures,bitmex,BTC/USDT,112596.4,112656.5,-0.0005334800921385435,-0.053348009213854346,0.0,57316129.04080003,,,,,,
2025-09-22T21:02:53.292503+00:00,funding,okx,BTC/USDT,,,,,,,,,,3.24782170526e-05,0.00324782170526,2025-09-23T00:00:00+00:00
2025-09-22T21:02:55.265961+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-22T21:35:32.617496+00:00,futures,bitmex,BTC/USDT,112729.8,112710.0,0.00017567207878629146,0.017567207878629146,0.0,57453883.62759003,,,,,,
2025-09-22T21:35:32.869689+00:00,funding,okx,BTC/USDT,,,,,,,,,,4.38066121597e-05,0.00438066121597,2025-09-23T00:00:00+00:00
2025-09-22T21:35:34.851264+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-22T21:45:33.169160+00:00,futures,bitmex,BTC/USDT,112837.2,112847.0,-8.684324793749865e-05,-0.008684324793749865,0.0,57566393.628200024,,,,,,
2025-09-22T21:45:33.401178+00:00,funding,okx,BTC/USDT,,,,,,,,,,4.6832978753e-05,0.0046832978753,2025-09-23T00:00:00+00:00
2025-09-22T21:45:35.610695+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-22T22:00:10.463776+00:00,futures,binance,BTC/USDT,112900.0,112902.28,-2.0194454886108907e-05,-0.002019445488610891,87132.893,18024523610.48,,,,,,
2025-09-22T22:00:11.377829+00:00,futures,bybit,BTC/USDT,112852.0,112900.3,-0.00042781108641875095,-0.04278110864187509,0.0,10916122648.6392,,,,,,
2025-09-22T22:00:13.813885+00:00,futures,bitmex,BTC/USDT,112849.9,112942.0,-0.0008154628039171063,-0.08154628039171062,0.0,57624689.12278003,,,,,,
2025-09-22T22:00:13.973471+00:00,funding,binance,BTC/USDT,,,,,,,,,,8.39e-05,0.00839,2025-09-23T00:00:00+00:00
2025-09-22T22:00:14.196059+00:00,funding,okx,BTC/USDT,,,,,,,,,,4.93835713361e-05,0.00493835713361,2025-09-23T00:00:00+00:00
2025-09-22T22:00:14.430391+00:00,funding,bybit,BTC/USDT,,,,,,,,,,2.545e-05,0.002545,2025-09-23T00:00:00+00:00
2025-09-22T22:00:15.989247+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-23T00:52:48.669511+00:00,futures,bitmex,BTC/USDT,112365.8,112396.5,-0.0002731401778524873,-0.02731401778524873,0.0,54728651.765949994,,,,,,
2025-09-23T00:52:49.000554+00:00,funding,okx,BTC/USDT,,,,,,,,,,9.40371548194e-05,0.00940371548194,2025-09-23T08:00:00+00:00
2025-09-23T00:52:50.660699+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T04:00:00+00:00
2025-09-23T04:14:22.505713+00:00,futures,bitmex,BTC/USDT,112074.5,112136.5,-0.0005528975846401484,-0.055289758464014835,0.0,53617755.576010026,,,,,,
2025-09-23T04:14:22.731374+00:00,funding,okx,BTC/USDT,,,,,,,,,,7.59738563752e-05,0.00759738563752,2025-09-23T08:00:00+00:00
2025-09-23T04:14:24.814551+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T12:00:00+00:00
2025-09-23T08:16:17.350510+00:00,futures,bitmex,BTC/USDT,113039.6,113057.0,-0.0001539046675570215,-0.01539046675570215,0.0,37753582.29214,,,,,,
2025-09-23T08:16:17.574298+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.9874076762e-05,0.0029874076762,2025-09-23T16:00:00+00:00
2025-09-23T08:16:19.599818+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-23T12:00:00+00:00
2025-09-23T12:22:36.050772+00:00,futures,bitmex,BTC/USDT,112807.9,112849.5,-0.000368632559293624,-0.0368632559293624,0.0,35675664.41489,,,,,,
2025-09-23T12:22:36.277714+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.52391125e-07,-1.52391125e-05,2025-09-23T16:00:00+00:00
